candidate,pattern,n_evaluable,events_evaluable,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,supported_pattern
fixed_beta_0.800,001,30,10,0.19954438702851302,0.20658979313006867,0.007045406101555657,True
fixed_beta_0.800,010,5,0,0.027577543194694677,0.028063066713381535,0.00048552351868685895,False
fixed_beta_0.800,011,280,30,0.08313352759503974,0.08469554658479642,0.0015620189897566777,True
fixed_beta_0.800,101,200,30,0.12907396054022355,0.1252292878773631,-0.0038446726628604544,True
fixed_beta_0.800,110,70,25,0.24192502043811115,0.24286509981498178,0.0009400793768706284,True
fixed_beta_0.800,111,1875,320,0.1284272379380475,0.12857187177806798,0.00014463384002047497,True
fixed_beta_0.825,001,30,10,0.19954438702851302,0.2059274551860163,0.00638306815750328,True
fixed_beta_0.825,010,5,0,0.027577543194694677,0.028201024868677788,0.000623481673983111,False
fixed_beta_0.825,011,280,30,0.08313352759503974,0.08451555870171518,0.0013820311066754382,True
fixed_beta_0.825,101,200,30,0.12907396054022355,0.12573698116614163,-0.003336979374081922,True
fixed_beta_0.825,110,70,25,0.24192502043811115,0.24293713167813996,0.0010121112400288124,True
fixed_beta_0.825,111,1875,320,0.1284272379380475,0.12858245916701283,0.00015522122896532986,True
fixed_beta_0.850,001,30,10,0.19954438702851302,0.20529156888809819,0.005747181859585171,True
fixed_beta_0.850,010,5,0,0.027577543194694677,0.028340758930810384,0.0007632157361157077,False
fixed_beta_0.850,011,280,30,0.08313352759503974,0.08434289555610289,0.0012093679610631486,True
fixed_beta_0.850,101,200,30,0.12907396054022355,0.12624445024125552,-0.0028295102989680243,True
fixed_beta_0.850,110,70,25,0.24192502043811115,0.24303985878898304,0.001114838350871894,True
fixed_beta_0.850,111,1875,320,0.1284272379380475,0.12860326712167158,0.00017602918362408237,True
fixed_beta_0.875,001,30,10,0.19954438702851302,0.2046819350689907,0.005137548040477696,True
fixed_beta_0.875,010,5,0,0.027577543194694677,0.02848218994849682,0.0009046467538021442,False
fixed_beta_0.875,011,280,30,0.08313352759503974,0.08417752030790578,0.0010439927128660376,True
fixed_beta_0.875,101,200,30,0.12907396054022355,0.12674994384186378,-0.002324016698359771,True
fixed_beta_0.875,110,70,25,0.24192502043811115,0.24317214291873362,0.0012471224806224757,True
fixed_beta_0.875,111,1875,320,0.1284272379380475,0.12863407702757104,0.00020683908952354169,True
fixed_beta_0.900,001,30,10,0.19954438702851302,0.20409836831799166,0.004553981289478648,True
fixed_beta_0.900,010,5,0,0.027577543194694677,0.0286252257443279,0.001047682549633222,False
fixed_beta_0.900,011,280,30,0.08313352759503974,0.08401938128473253,0.0008858536896927949,True
fixed_beta_0.900,101,200,30,0.12907396054022355,0.12725191916679027,-0.0018220413734332808,True
fixed_beta_0.900,110,70,25,0.24192502043811115,0.24333285807889657,0.0014078376407854198,True
fixed_beta_0.900,111,1875,320,0.1284272379380475,0.1286746622445369,0.00024742430648941327,True
fixed_beta_0.925,001,30,10,0.19954438702851302,0.20354069970814287,0.003996312679629854,True
fixed_beta_0.925,010,5,0,0.027577543194694677,0.02876975651869777,0.0011922133240030927,False
fixed_beta_0.925,011,280,30,0.08313352759503974,0.08386841397745673,0.000734886382416991,True
fixed_beta_0.925,101,200,30,0.12907396054022355,0.12774904305280108,-0.0013249174874224723,True
fixed_beta_0.925,110,70,25,0.24192502043811115,0.24352089664197796,0.0015958762038668084,True
fixed_beta_0.925,111,1875,320,0.1284272379380475,0.12872478933023304,0.00029755139218554105,True
fixed_beta_0.950,001,30,10,0.19954438702851302,0.2030087616792861,0.0034643746507730944,True
fixed_beta_0.950,010,5,0,0.027577543194694677,0.028915671555073318,0.001338128360378641,False
fixed_beta_0.950,011,280,30,0.08313352759503974,0.08372454399982611,0.0005910164047863709,True
fixed_beta_0.950,101,200,30,0.12907396054022355,0.12824018370471243,-0.000833776835511113,True
fixed_beta_0.950,110,70,25,0.24192502043811115,0.2437351725578424,0.001810152119731262,True
fixed_beta_0.950,111,1875,320,0.1284272379380475,0.12878421883861987,0.0003569809005723734,True
fixed_beta_0.975,001,30,10,0.19954438702851302,0.20250239232633319,0.002958005297820171,True
fixed_beta_0.975,010,5,0,0.027577543194694677,0.029062852475292795,0.0014853092805981183,False
fixed_beta_0.975,011,280,30,0.08313352759503974,0.08358768656171865,0.00045415896667891364,True
fixed_beta_0.975,101,200,30,0.12907396054022355,0.12872440281723954,-0.00034955772298400634,True
fixed_beta_0.975,110,70,25,0.24192502043811115,0.2439746232216444,0.0020496027835332498,True
fixed_beta_0.975,111,1875,320,0.1284272379380475,0.12885270626905448,0.000425468331006984,True
fixed_beta_1.000,001,30,10,0.19954438702851302,0.20202142701471992,0.002477039986206908,True
fixed_beta_1.000,010,5,0,0.027577543194694677,0.02921117853612497,0.001633635341430295,False
fixed_beta_1.000,011,280,30,0.08313352759503974,0.08345775018465412,0.0003242225896143841,True
fixed_beta_1.000,101,200,30,0.12907396054022355,0.12920094500984663,0.00012698446962308707,True
fixed_beta_1.000,110,70,25,0.24192502043811115,0.24423821173778712,0.0023131912996759707,True
fixed_beta_1.000,111,1875,320,0.1284272379380475,0.12893000280562839,0.0005027648675808849,True
fixed_beta_1.025,001,30,10,0.19954438702851302,0.2015656947339065,0.0020213077053934936,True
fixed_beta_1.025,010,5,0,0.027577543194694677,0.029360532356040876,0.001782989161346199,False
fixed_beta_1.025,011,280,30,0.08313352759503974,0.08333463653449716,0.00020110893945742003,True
fixed_beta_1.025,101,200,30,0.12907396054022355,0.1296692226421048,0.0005952621018812387,True
fixed_beta_1.025,110,70,25,0.24192502043811115,0.24452493251537252,0.0025999120772613737,True
fixed_beta_1.025,111,1875,320,0.1284272379380475,0.12901585625741216,0.0005886183193646588,True
